Provincia,Partido,Localidad,ADSL,DIALUP,FIBRAOPTICA,4G,TELEFONIAFIJA,SATELITAL
,Godoy Cruz,LAS TORTUGAS,,No,Si,,No,No
MENDOZA,Godoy Cruz,,No,No,,No,No,
MENDOZA,,,No,,,Si,,
MENDOZA,,Villa Hipodromo,No,,Si,Si,,No
MENDOZA,,,No,No,,Si,No,No
,Grl. José de San Martín,Pacará,No,No,No,No,No,
MENDOZA,Malargüe,Malargüe,,No,Si,,Si,
MENDOZA,,,No,,,No,,No
MENDOZA,,Barrio Cooperativa Los Campamentos,No,,No,Si,,No
MENDOZA,,,No,,,No,,
MENDOZA,Rivadavia,,No,No,,No,No,
,Rivadavia,El Mirador,No,No,Si,No,No,No
MENDOZA,Rivadavia,La Central,,No,No,,No,No
,Rivadavia,La Esperanza,,No,No,,No,
,Rivadavia,La Florida,No,No,No,No,No,
MENDOZA,,,No,,,No,,No
MENDOZA,,Los Árboles,No,,No,No,,No
,Rivadavia,Los Campamentos,No,No,No,Si,Si,
MENDOZA,Rivadavia,Medrano,,Si,No,,Si,No
MENDOZA,Rivadavia,,No,No,,Si,No,No
MENDOZA,,Reducción de Abajo,No,,No,No,,No
MENDOZA,Rivadavia,Rivadavia,,Si,Si,,Si,
,Rivadavia,Santa María de Oro,,No,No,,No,No
,General Manuel Belgrano,Bernardo de Irigoyen,No,No,Si,Si,Si,No
,General Manuel Belgrano,Caburei,,No,No,,No,No
MISIONES,,Dos Hermanas,No,,No,Si,,No
MISIONES,,,No,,,No,,
,General Manuel Belgrano,Piñalito Norte,,No,No,,No,No
,General Manuel Belgrano,Puerto Andresito,No,No,No,No,No,No
