Año,Trimestre,Provincia,Accesos por cada 100 hogares
2015,1,Salta,3001
2015,1,San Juan,2755
2015,1,San Luis,972
2015,1,Santa Cruz,2799
2015,1,Santa Fe,5024
2015,1,Santiago Del Estero,1706
2015,1,Tierra Del Fuego,7423
2015,1,Tucumán,3508
2014,4,Buenos Aires,5609
2014,4,Capital Federal,1149
2014,4,Catamarca,2551
2014,4,Chaco,2187
2014,4,Chubut,4025
2014,4,Córdoba,547
2014,4,Corrientes,2356
2014,4,Entre Ríos,3603
2014,4,Formosa,1796
2014,4,Jujuy,196
2014,4,La Pampa,5127
2014,4,La Rioja,1701
2014,4,Mendoza,3264
2014,4,Misiones,2416
2014,4,Neuquén,5255
2014,4,Río Negro,4548
2014,4,Salta,2953
2014,4,San Juan,2804
2014,4,San Luis,979
2014,4,Santa Cruz,278
2014,4,Santa Fe,50
2014,4,Santiago Del Estero,1727
2014,4,Tierra Del Fuego,6614
2014,4,Tucumán,3532
2014,3,Buenos Aires,5675
2014,3,Capital Federal,1138
2014,3,Catamarca,2471
2014,3,Chaco,2111
2014,3,Chubut,406
2014,3,Córdoba,5423
2014,3,Corrientes,2279
2014,3,Entre Ríos,3498
2014,3,Formosa,1777
2014,3,Jujuy,1837
2014,3,La Pampa,5578
2014,3,La Rioja,1651
2014,3,Mendoza,3231
2014,3,Misiones,2357
2014,3,Neuquén,564
2014,3,Río Negro,462
2014,3,Salta,2922
2014,3,San Juan,2785
2014,3,San Luis,971
2014,3,Santa Cruz,2823
2014,3,Santa Fe,492
2014,3,Santiago Del Estero,1649
2014,3,Tierra Del Fuego,6569
2014,3,Tucumán,3394
2014,2,Buenos Aires,5506
2014,2,Capital Federal,11314
2014,2,Catamarca,247
2014,2,Chaco,2096
2014,2,Chubut,4141
2014,2,Córdoba,5345
2014,2,Corrientes,2258
2014,2,Entre Ríos,3469
2014,2,Formosa,1754
2014,2,Jujuy,1871
2014,2,La Pampa,4971
2014,2,La Rioja,165
2014,2,Mendoza,321
2014,2,Misiones,2337
2014,2,Neuquén,5084
2014,2,Río Negro,4533
2014,2,Salta,2891
2014,2,San Juan,2778
2014,2,San Luis,972
2014,2,Santa Cruz,2938
2014,2,Santa Fe,4839
2014,2,Santiago Del Estero,167
2014,2,Tierra Del Fuego,6436
2014,2,Tucumán,3394
2014,1,Buenos Aires,5457
2014,1,Capital Federal,11225
2014,1,Catamarca,2425
2014,1,Chaco,2072
2014,1,Chubut,4124
2014,1,Córdoba,5252
2014,1,Corrientes,2232
2014,1,Entre Ríos,3437
2014,1,Formosa,1742
2014,1,Jujuy,1842
2014,1,La Pampa,4843
2014,1,La Rioja,1629
2014,1,Mendoza,3191
2014,1,Misiones,2314
2014,1,Neuquén,4979
2014,1,Río Negro,4491
2014,1,Salta,287
2014,1,San Juan,276
2014,1,San Luis,935
2014,1,Santa Cruz,2894
2014,1,Santa Fe,4785
2014,1,Santiago Del Estero,1631
2014,1,Tierra Del Fuego,6397
2014,1,Tucumán,3342
