Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
2019,3,San Juan,220,1710,68315,2245,1267,410,128,4779,76968
2019,3,San Luis,570,1000,18643,5113,4670,62242,5,36075,122702
2019,3,Santa Cruz,280,840,31612,4472,1203,270,4,0,37430
2019,3,Santa Fe,6400,8184,242454,193286,107068,84325,97082,19537,752576
2019,3,Santiago Del Estero,390,1832,35554,55172,3612,860,1836,34501,132632
2019,3,Tierra Del Fuego,60,140,32133,4692,1756,820,226,9648,48557
2019,3,Tucumán,160,1100,71043,47693,24354,8430,20385,0,164444
2019,2,Buenos Aires,199768,46852,1436259,217785,438663,502275,985767,43438,3870807
2019,2,Capital Federal,740,1027,281370,124087,239691,296155,475991,0,1418395
2019,2,Catamarca,340,430,16631,867,6049,340,10,2151,33622
2019,2,Chaco,690,1383,38488,26431,16789,15348,9904,1492,109904
2019,2,Chubut,660,3952,69032,10049,1495,740,165,45,89333
2019,2,Córdoba,810,8165,248427,100512,157458,170159,76053,8938,769793
2019,2,Corrientes,100,3012,40424,27774,13114,11928,7119,608,109461
2019,2,Entre Ríos,180,5905,100687,52316,23196,24221,10664,17206,234213
2019,2,Formosa,111,3490,26512,5399,8384,2639,2258,1000,46751
2019,2,Jujuy,270,9400,26233,8441,267,270,2600,21765,86733
2019,2,La Pampa,2360,3289,75406,5191,1366,1445,629,2661,90223
2019,2,La Rioja,90,110,39819,4297,4857,130,1298,0,50304
2019,2,Mendoza,200,2522,205165,2971,10092,1256,234,0,222260
2019,2,Misiones,470,2226,45769,27385,15408,18882,8129,12206,130052
2019,2,Neuquén,3020,3038,61776,4688,17318,2121,14132,4220,122886
2019,2,Río Negro,3840,1354,86366,2201,10291,12407,6907,18519,138429
2019,2,Salta,490,9740,59638,36923,16961,14059,6461,7585,142650
2019,2,San Juan,220,2130,60913,2177,7850,70,4,6119,70240
2019,2,San Luis,570,1020,16575,4964,4670,57236,5,37977,117383
2019,2,Santa Cruz,250,840,24861,3806,1202,280,4,0,30010
2019,2,Santa Fe,3210,8427,300124,125176,129741,100131,49865,22323,736108
2019,2,Santiago Del Estero,390,1832,63268,21362,3741,1080,1205,34501,126056
2019,2,Tierra Del Fuego,60,1230,41824,4241,1573,960,32,0,47895
2019,2,Tucumán,160,1570,78891,44296,24291,6280,18394,0,166673
2019,1,Buenos Aires,162513,72296,1429964,202511,576428,576859,705769,6369,3732709
2019,1,Capital Federal,740,7417,283787,131007,330122,365713,283463,0,1401583
2019,1,Catamarca,340,1708,18761,6443,5606,290,7,2151,34739
2019,1,Chaco,690,3801,38719,25632,18965,12393,6368,1035,106982
2019,1,Chubut,660,3938,71077,6571,7870,740,165,0,82678
2019,1,Córdoba,810,20403,242769,96997,200681,127965,50716,6806,746418
2019,1,Corrientes,100,647,38402,26562,15498,9688,5029,0,101659
2019,1,Entre Ríos,180,9217,107013,50068,28957,18146,7619,12142,233180
2019,1,Formosa,111,3023,23085,5301,9027,2099,1654,0,45299
2019,1,Jujuy,270,2817,30727,7811,4021,300,1141,37162,83736
2019,1,La Pampa,2360,8327,70538,4466,1061,1354,405,6980,87085
2019,1,La Rioja,90,1169,40285,4088,5216,170,869,0,51653
2019,1,Mendoza,200,1786,205383,2837,5702,1110,140,0,215979
2019,1,Misiones,470,5946,45266,2589,19111,16552,5167,7654,125633
2019,1,Neuquén,1328,3055,52360,1781,21452,17135,11026,6105,114242
2019,1,Río Negro,3840,1583,84845,2037,13615,9567,5076,3719,120826
2019,1,Salta,490,4232,59244,36473,2291,10861,2242,10,136012
2019,1,San Juan,220,2290,62380,2660,5200,30,2,5600,63982
2019,1,San Luis,570,1200,21380,53214,3450,60,2,23577,98701
